shipment_id,carrier,origin,destination,customer_tier,order_value_usd,ship_date,planned_eta,current_eta,current_status,last_gps_timestamp,scenario_tag,notes
SHP-10135,CargoNet,"Los Angeles, CA","Phoenix, AZ",Platinum,294.63,2026-09-01 05:35,2026-09-04 19:01,2026-09-04 19:01,In Transit,2026-09-01 21:51,at_risk_no_gps,No GPS ping received in over 12 hours
SHP-10136,RapidLine,"Atlanta, GA","Phoenix, AZ",Gold,6729.74,2026-08-30 17:21,2026-09-01 18:55,2026-09-01 18:55,Delivered,2026-09-02 12:57,on_time,
SHP-10137,RapidLine,"Atlanta, GA","Columbus, OH",Gold,21377.71,2026-09-01 10:39,2026-09-04 08:56,2026-09-04 12:53,In Transit,2026-09-02 13:07,minor_delay,
SHP-10138,CargoNet,"Atlanta, GA","Charlotte, NC",Standard,22871.51,2026-09-01 07:34,2026-09-03 18:51,2026-09-03 18:51,Out for Delivery,2026-09-02 13:10,on_time,
SHP-10139,TransGlobal,"Newark, NJ","Charlotte, NC",Standard,6750.59,2026-08-29 23:08,2026-09-01 21:27,2026-09-01 23:40,In Transit,2026-09-02 11:57,minor_delay,
SHP-10140,RapidLine,"Memphis, TN","Denver, CO",Platinum,21748.72,2026-09-01 01:05,2026-09-04 23:33,2026-09-05 01:21,In Transit,2026-09-02 12:27,minor_delay,
SHP-10141,SwiftHaul,"Newark, NJ","Miami, FL",Platinum,4980.53,2026-08-29 06:02,2026-09-01 20:15,2026-09-01 20:15,Out for Delivery,2026-09-02 12:54,on_time,
SHP-10142,TransGlobal,"Memphis, TN","Denver, CO",Platinum,880.77,2026-09-01 09:14,2026-09-05 00:27,2026-09-05 14:53,In Transit,2026-09-02 11:52,at_risk_eta_slip,ETA has slipped significantly from original plan
SHP-10143,TransGlobal,"Memphis, TN","Denver, CO",Standard,10710.41,2026-08-31 01:51,2026-09-02 10:46,2026-09-02 10:46,Delivered,2026-09-02 13:10,on_time,
SHP-10144,TransGlobal,"Atlanta, GA","Charlotte, NC",Standard,23814.26,2026-08-29 23:27,2026-08-31 22:45,2026-08-31 23:55,In Transit,2026-09-02 11:21,minor_delay,
SHP-10145,SwiftHaul,"Atlanta, GA","Denver, CO",Standard,17220.69,2026-08-30 00:43,2026-09-01 17:15,2026-09-02 18:10,Exception,2026-09-02 03:16,exception,Shipment misrouted to wrong hub
SHP-10146,TransGlobal,"Atlanta, GA","Charlotte, NC",Standard,11701.26,2026-09-01 02:41,2026-09-02 17:54,2026-09-02 17:54,In Transit,2026-09-01 10:20,at_risk_no_gps,No GPS ping received in over 12 hours
SHP-10147,RapidLine,"Dallas, TX","Charlotte, NC",Standard,4672.85,2026-09-01 06:14,2026-09-03 14:11,2026-09-04 07:06,Exception,2026-09-01 22:46,exception,Shipment misrouted to wrong hub
SHP-10148,TransGlobal,"Chicago, IL","Charlotte, NC",Standard,13369.64,2026-09-01 12:16,2026-09-03 00:31,2026-09-04 04:04,In Transit,2026-09-02 11:26,at_risk_eta_slip,ETA has slipped significantly from original plan
SHP-10149,RapidLine,"Atlanta, GA","Phoenix, AZ",Gold,22690.98,2026-08-29 08:02,2026-08-30 21:11,2026-08-30 21:11,In Transit,2026-09-02 12:52,on_time,
